title,author,price,currency,seller_name,seller_city,seller_region,seller_country,about,binding,condition,edition,isbn,publisher,year_published,availability,searched,edmonton,signed
Happy Alchemy -,Robertson Davies -,20.14,USD,"""Pursuit of Happiness"" Books",Oakland,CA,U.S.A.,Hard Cover. Condition: Good. Hardcover/pub.1998/Gd. condition/381 pages - On the Pleasures of Music and the Theatre.(v1137z). ,Hardcover,UsedCondition,,,Viking Press-,1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: Writings on the Theatre and Other Lively Arts; The Merry Heart: Selections 1980-1995,"DAVIES, Robertson; SURRIDGE, Jennifer & DAVIES, Brenda (eds.)",25.0,USD,"Attic Books (ABAC, ILAB)",London,ON,Canada,"Hardcover. Condition: Near fine. 2 vols.: xii, 385; xii, 384 p. 24 cm. Brown hardcovers in matching slipcase with a little rubbing. ",Hardcover,UsedCondition,,,McClelland & Stewart 1996-7,1996.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On the Pleasures of Music and the Theatre. Edited by Jennifer Surridge and Brenda Davies.,"Davies, Robertson.",12.57,USD,City Basement Books,Melbourne,VIC,Australia,"Hardback, 16x23.5cm, 384pp. Very good condition (light wear and marks) in very good dustwrapper (faded spine). ISBN: 0670880191. ",,UsedCondition,,,"Viking Penguin, 1998.",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: & The Merry Heart (Two Volumes in Slipcase),"Davies, Robertson; Grant, Judith Skelton [Editor]",20.88,USD,Alexandria's Library,Unionville,ON,Canada,"Hardcover. Condition: Fine. 1st Edition. Two volumes in slipcase. Spines sunned. Heavy set, no overseas shipments. ",Hardcover,UsedCondition,1st Edition,,"McClelland & Stewart, Toronto",1996.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy and the Merry Heart,"Davies, Robertson",19.99,USD,A Good Read,Toronto,ON,Canada,"Hardcover. Condition: Very Good. Dust Jacket Condition: Very Good. Light rubbing, small spots of white paint, horizontal crease to slipcase. Sunning to spines. A Good Read ships from Toronto and Niagara Falls, NY - customers outside of North America please allow two to three weeks for delivery. Heavy/oversize item - additional shipping charges may be required depending on speed/destination requested. ; 2 Vols In Slipcase. ",Hardcover,UsedCondition,,,McClelland & Stewart,1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
The Merry Heart: Selections 1980-1995 & Happy Alchemy: Writings on the Theatre and Other Lively Arts (2 volumes),"Davies, Robertson",20.0,USD,Purpora Books,Comox,BC,Canada,"Hard Covers in Slipcase. Condition: Fine. First Edition, First Printing. Two volume set comprising original first editions in brown paper covered boards and gilt lettering on spines in matching slip case (also fine); without dust jackets, as issued. ""Merry Heart"" published in 1996 [ISBN: 0-7710-2584-X]; ""Happy Alchemy"" published in 1997 [ISBN: 0-7710-3541-1]; 385 pages & 384 pages. Heavy and may require additional postage depending on destination. ",Hardcover,UsedCondition,"First Edition, First Printing.",,"McClelland & Stewart, Toronto",,InStock,abebooks - robertson davies - happy alchemy,False,False
The Merry Heart: Selections 1980-1995 & Happy Alchemy: Writings on the Theatre and Other Lively Arts (2 volumes),"Davies, Robertson",20.0,USD,Purpora Books,Comox,BC,Canada,"Hard Covers in Slipcase. Condition: Fine. First Edition, First Printing. Two volume set comprising original first editions in brown paper covered boards and gilt lettering on spines in matching slip case (also fine); without dust jackets, as issued. ""Merry Heart"" published in 1996 [ISBN: 0-7710-2584-X]; ""Happy Alchemy"" published in 1997 [ISBN: 0-7710-3541-1]; 385 pages & 384 pages. Heavy and may require additional postage depending on destination. ",Hardcover,UsedCondition,"First Edition, First Printing.",,"McClelland & Stewart, Toronto",,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy : On the Pleasures of Music and the Theatre,"Davies, Robertson",20.33,USD,GreatBookPrices,Columbia,MD,U.S.A.,Condition: As New. Unread book in perfect condition. ,Paperback,UsedCondition,,9780795352492,RosettaBooks,2019.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy On the Pleasures of Music and the Theatre,"Davies, Robertson; Editors Davies, Brenda; Surridge, Jennifer",7.5,USD,"Willis Monie-Books, ABAA",Cooperstown,NY,U.S.A.,Hardcover. Condition: Very Good. Dust Jacket Condition: Very Good. 1st US Printing. ,Hardcover,UsedCondition,1st US Printing.,9780670880195,"Viking Press, New York, New York",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: Writings On The Theatre And Other Lively Arts,"Davies, Robertson",19.54,USD,Reeve & Clarke Books (ABAC / ILAB),South River,ON,Canada,Hardcover. Condition: Fine. Dust Jacket Condition: Fine. First Edition. publisher's dark brown paper covered boards; lettering in gilt on spine; brown pictorial dust jacket; lettering in yellow and white on spine; dust jacket is not price clipped; 384 pages followed by four pages of publisher's ads. ,Hardcover,UsedCondition,First Edition,,"McClelland & Stewart Inc., Toronto",1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy and The Merry Heart (2 Vols in Slipcase),"Collodi, Carlo (Lorenzin)",20.0,USD,Sekkes Consultants,North Dighton,MA,U.S.A.,"Hardcover. Condition: Near Fine. Davies, Robertson (illustrator). Special Edition, Boxed set of Robertson Davies essays: The Merry Heart: Selections 1980-1995 & Happy Alchemy: Writings on the Theatre and Other Lively Arts. collection of writings by Canadian novelist Robertson Davies. The collection was edited after Davies' death in 1995 by his literary executors: his wife Brenda Davies and daughter Jennifer Surridge. Brown covers and slipcase with gold lettering including facsimile Davies signature on slipcase. Light rubbing to the bottom of the slipcase. book. ",Hardcover,UsedCondition,,,"McClelland & Stewart, Toronto",1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
"[Two Titles] The Merry Heart, Reflections on Reading, Writing, and the World of Books; Happy Alchemy, On the Pleasures of Music and Theatre.","Davies, Robertson.",20.0,USD,"G.F. Wilkinson Books, member IOBA",GRASS VALLEY,CA,U.S.A.,"Hardcover. Condition: Fine. 1st American Editions. 8vo; cloth in dust jackets. Fine s, with protective mylar wrap. ",Hardcover,UsedCondition,1st American Editions.,,"Viking 1996-97, N.Y.",1996.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On the Pleasures of Music and the Theatre,"Davies, Robertson; Davies, Brenda [Editor]",12.0,USD,"Book House in Dinkytown, IOBA",Minneapolis,MN,U.S.A.,"hardcover. Condition: Very Good+. Dust Jacket Condition: Very Good+ Dust Jacket. First Edition. 1st printing of the 1st American edition. Very good hardcover in very good dust jacket. Binding is tight, sturdy, and square; DJ, boards, text also very good. DJ protected in Mylar wraps. A very nice copy! Ships from Dinkytown in Minneapolis, Minnesota. ",Hardcover,UsedCondition,First Edition.,9780670880195,Viking Adult,1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy On The Pleasures Of Music And The Theatre [ Advance Uncorrected Proofs],"Davies, Robertson; edited by Jennifer Surridge & Brenda Davies",12.5,USD,"Willis Monie-Books, ABAA",Cooperstown,NY,U.S.A.,Softcover. Condition: Very Good. Dust Jacket Condition: No Dust Jacket. Advance Reading Copy/Proof. Light creasing to lower outer corner of front cover. ; Advance uncorrected proofs. ,Paperback,UsedCondition,Advance Reading Copy/Proof,,"Viking, New York, ET AL",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On the Pleasure of Music and the Theatre,"DAVIES, ROBERTSON",6.1,USD,Hard to Find Books NZ (Internet) Ltd.,Dunedin,OTAGO,New Zealand,"Octavo softcover (nr fine); all our specials have minimal description to keep listing them viable. They are at least reading copies, complete and in reasonable condition, but usually secondhand; frequently they are superior examples. Ordering more than one book will reduce your overall postage cost. ",Paperback,UsedCondition,,,Penguin 1999,1999.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On The Pleasures Of Music And The Theatre,"DAVIES, ROBERTSON & SURRIDGE, JENNIFER (Ed) & DAVIES, BRENDA (Ed)",6.42,USD,Hard to Find Books NZ (Internet) Ltd.,Dunedin,OTAGO,New Zealand,"Octavo softcover (VG+); all our specials have minimal description to keep listing them viable. They are at least reading copies, complete and in reasonable condition, but usually secondhand; frequently they are superior examples. Ordering more than one book will reduce your overall postage cost. ",Paperback,UsedCondition,,,Penguin 1997,1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: Writings on the Theatre and Other Lively Arts & The Merry Heart: Selections 1980-1995 (Two Volumes in Slipcase),"Davies, Robertson; Jennifer Surridge and Brenda Davies (Eds.)",30.0,USD,BISON BOOKS - ABAC/ILAB,Winnipeg,MB,Canada,Hardcover. 8vo. Uniformly bound in brown cloth with gilt lettering to spines. Both volumes showing boards lightly rubbed; very good in matching slipcase. ,Hardcover,UsedCondition,,9780771035418,"McClelland & Stewart, Toronto",1996.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On the Pleasures of Music and the Theatre,"Davies, Robertson (edited By Jennifer Surridge and Brenda Davies)",20.0,USD,Bibliomania Book Store,Baltimore,OH,U.S.A.,"Hardcover. Condition: Near Fine. Dust Jacket Condition: Near Fine. First Edition. Head, heel of spine bumped; dust jacket is lightly scuffed. ",Hardcover,UsedCondition,First Edition,,"Viking, New York",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy; On the Pleasures of Music and the Theatre,"Davies, Robertson (Edited by Brenda Davies; Jennifer Surridge.)",31.5,USD,"Burton Lysecki Books, ABAC/ILAB",Winnipeg,MB,Canada,"[0-670-88019-1] 1998, 1st American edition. (Hardcover) Very good plus in very good dust jacket. 384pp. The dust jacket is faded on the spine and at the top edge of the front panel. Edited by Brenda Davies & Jennifer Surridge. (Theater, Aesthetics, Criticism, Essays, Music). ",Hardcover,UsedCondition,,9780670880195,"Viking, New York",,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy,"Davies, Robertson",20.0,USD,Heritage Books,Southampton,MA,U.S.A.,"n/a (illustrator). Very Good First Edition Printing Not Spec. 8vo = over 9"" Good + DJ 384pp Spine is maroon board and covers are red board. Binding is solid but starting to warp slightly along the bottom edge. The full title of the book is Happy Alchemy On the Pleasures of Music and Theatre. DJ is torn on the bottom near the spine. 0670880191. ",Hardcover,UsedCondition,,,Viking New York 1997,1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy : On the Pleasures of Music and the Theatre,"Davies, Robertson",22.5,USD,"Michael J. Toth, Bookseller, ABAA",Springtown,PA,U.S.A.,"Hard Cover. Condition: Fine. Dust Jacket Condition: Fine. First Edition. Crisp, clean, as new copy of this 384 pp. book of essays on Music and Theatre. ",Hardcover,UsedCondition,First Edition.,9780670880195,"Viking Penguin, New York, NY, U.S.A.",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On the Pleasures of Music and the Theatre,"DAVIES, ROBERTSON & SURRIDGE, JENNIFER & DAVIES, B",12.52,USD,Hard to Find Books NZ (Internet) Ltd.,Dunedin,OTAGO,New Zealand,"First edition, super octavo softcover (nr fine) in d/w (nr fine); all our specials have minimal description to keep listing them viable. They are at least reading copies, complete and in reasonable condition, but usually secondhand; frequently they are superior examples. Ordering more than one book will reduce your overall postage costs. ",Hardcover,UsedCondition,,,Viking Penguin 1998,1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On the Pleasures of Music and the Theatre,"DAVIES, ROBERTSON",12.83,USD,Hard to Find Books NZ (Internet) Ltd.,Dunedin,OTAGO,New Zealand,"Super octavo hardcover (nr fine) in d/w (VG+); all our specials have minimal description to keep listing them viable. They are at least reading copies, complete and in reasonable condition, but usually secondhand; frequently they are superior examples. Ordering more than one book will reduce your overall postage cost. ",Hardcover,UsedCondition,,,Viking 1998,1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
The Merry Heart: Selections 1980-1995/ Happy Alchemy: Writings on the Theatre and Other Lively Arts,"Davies, Robertson",25.0,USD,Kenneth Mallory Bookseller ABAA,Decatur,GA,U.S.A.,"Hardcover. Condition: Very good. Hardcover. Two volumes, both very good in publisher's brown boards and slipcase. ",Hardcover,UsedCondition,,,"McClelland & Stewart, Toronto",1996.0,InStock,abebooks - robertson davies - happy alchemy,False,False
The Merry Heart: Selections 1980-1995 [together with] Happy Alchemy: Writings on the Theatre and Other Lively Arts.,"Davies, Robertson.",35.0,USD,"Wilfrid M. de Freitas - Bookseller, ABAC",Montreal,QC,Canada,"First editions thus. Edited by Jennifer Surridge and Brenda Davies. Two volumes; both as new, in original gilt lettered chocolate boards and slipcase. ",Hardcover,UsedCondition,,,"Toronto: McClelland & Stewart, 1996 and 1997.",1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy; Writings on the Theatre and Other Lively Arts,"Davies, Robertson (Edited by Brenda Davies; Jennifer Surridge.)",36.75,USD,"Burton Lysecki Books, ABAC/ILAB",Winnipeg,MB,Canada,"[1997], 1st edition. (Hardcover) Very good plus in very good plus dust jacket. 384pp. Publisher's stamp on front free endpaper, small bump on bottom of front cover near spine. Review copy. Edited by Brenda Davies & Jennifer Surridge. (Fiction, Canadian, Articles, Book Reviews, Diaries, Speeches, Theater). ",Hardcover,UsedCondition,,,"McClelland & Stewart, Toronto",,InStock,abebooks - robertson davies - happy alchemy,False,False
HAPPY ALCHEMY. Writings on Theatre and Other Lively Arts. / THE MERRY HEART. Selections 1980-1995.Slections 2 volumes in slip case [NEW],"Davies, Robertson.",40.0,USD,Book Stage,Stratford,ON,Canada,"HC. First thus 384, 385 pp., New, in publisher's shrink wrap. Matching binding of the two volumes and slip case in brown paper over board. May require slightly more postage than standard, for heavier 2 vol.set according to destination. Please, inquire. Fine in fine slip case, shrink wrapped. NEW. ",Hardcover,UsedCondition,,,"McClelland and Stewart,, Toronto,",1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
HAPPY ALCHEMY; On the pleasures of music and the theatre,"DAVIES, Robertson",14.0,USD,"Second Life Books, Inc.",Lanesborough,MA,U.S.A.,"First American edn. 8vo, pp. 384. Edited by Jennifer Surridge and Brenda Davies. A nice copy in slightly spotted dj. ",,UsedCondition,First American edn.,,"Viking, NY",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
THE MERRY HEART (Selections 1980-1995) and HAPPY ALCHEMY (Writings on the Theatre and Other Literary arts),"DAVIES, Robertson",48.0,USD,J. W. Mah,Burnaby,BC,Canada,"Hardcover. Condition: As New. No Jacket. (CAD) First Thus Two volume special edition using the first edition sheets. First thus as a combined set in slipcase. Brown bds gold titles in a matching brown slipcase with facsimile of Davies' signature in gold. A selction of Davies' non-fiction writings on the theatre and other literary subjects. Fine, unread in Fine slipcase, still in shrinkwrap Issued withour dustjackets. ( 4.0 JM HOZ 401/1 Size: 8vo - over 7¾"" - 9¾"" tall. ",Hardcover,UsedCondition,,9780771025884,"McClelland & Stewart, Toronto",1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy : On the Pleasures of Music and the Theatre,"Davies, Robertson (edited By Jennifer Surridge and Brenda Davies)",25.0,USD,"The Book House, Inc.  - St. Louis",St. Louis,MO,U.S.A.,Hardcover. Condition: Very Good. Dust Jacket Condition: Very Good. First Edition. Very Good Hardcover with Very Good dustjacket. ,Hardcover,UsedCondition,First Edition.,9780670880195,Viking Books,1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On the Pleasures of Music and the Theatre,"Davies, Robertson; Davies, Brenda [Editor]",11.95,USD,"Book Trader Cafe, LLC",New Haven,CT,U.S.A.,"Hardcover. Condition: Like New. First Edition, First Printing. Hardly any sign of use with No Writing in text. Ships with tracking the same or next business day from New Haven, CT. We fully guarantee to ship the exact same item as listed and work hard to maintain our excellent customer service. ",Hardcover,UsedCondition,,,Viking Adult,1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
The Merry Heart; Selections 1980-1995 (Includes Happy Alchemy; Writings on the Theatre and Other Lively Arts.),"Davies, Robertson",62.54,USD,A Biblio-omnivore-Harvey Lev,Parrsboro,NS,Canada,Hardcover. Condition: Very Good. Dust Jacket Condition: Very Good. 1st Edition. The Merry Heart; Selections 1980-1995 (Includes Happy Alchemy; Writings on the Theatre and Other Lively Arts.) 2 volumes in a fine slipcase. Edited by Brenda Davies & Jennifer Surridge. Includes Happy Alchemy; Writings on the Theatre and Other Lively Arts. Introduction by Douglas Gibson. ,Hardcover,UsedCondition,1st Edition,9780771025846,McClelland & Stewart,1996.0,InStock,abebooks - robertson davies - happy alchemy,False,False
HAPPY ALCHEMY; On the pleasures of music and the theater,"DAVIES, Robertson",18.0,USD,"Second Life Books, Inc.",Lanesborough,MA,U.S.A.,"First American edn. 8vo, pp. 384. A nice copy in slightly scuffed dj. ",,UsedCondition,First American edn.,,"Viking, NY",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On The Pleasures of Music and The Theatre.,"Davies, Robertson.",15.0,USD,Frederick Bayoff Literary Books,Adrian,MI,U.S.A.,"1st. ed.not read or opened. new. d.j. Please email for info concerning any book or dust jacket. If d.j. does not appear in description, it means there is no dust jacket. Photos on request. Some books may have remainder marks. Heavy and/or oversized books require additional postage. ",,UsedCondition,,,N.Y:Viking Press. 1998. Hardcover.,1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
HAPPY ALCHEMY On the Pleasures of Music and the Theatre,Robertson Davies & Brenda Davies,37.95,USD,Rare Book Cellar,Pomona,NY,U.S.A.,Hardcover. First Edition; First Printing. Very Good+ in a Near Fine dust jacket. Light foxing on text block edges. ; 8.9 X 6.0 X 1.3 inches; 400 pages. ,Hardcover,UsedCondition,First Edition; First Printing.,9780670880195,"Viking, New York",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
The Merry Heart; Selections 1980-1995 (Includes Happy Alchemy; Writings on the Theatre and Other Lively Arts.),"Davies, Robertson (Edited by Brenda Davies; Jennifer Surridge.)",52.5,USD,"Burton Lysecki Books, ABAC/ILAB",Winnipeg,MB,Canada,"[0-7710-2584-X] [1996], 1st edition. (Hardcover boxed set) Very good plus. 385, 384pp. Douglas Gibson imprint. 2 volumes in a fine slipcase. Edited by Brenda Davies & Jennifer Surridge. Includes Happy Alchemy; Writings on the Theatre and Other Lively Arts. Introduction by Douglas Gibson. (Fiction, Canadian, Opera, Theatre). ",Hardcover,UsedCondition,,9780771025846,"McClelland & Stewart, Toronto",,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: Writings on the Theatre and Other Lively Arts and The Merry Heart: Selections 1980-1995.,"DAVIES, Robertson [Theatre / Theater] :",35.8,USD,Travis & Emery Music Bookshop ABA,London,,United Kingdom,"Two volumes in slipcase. Happy Alchemy: xii, 384 pages. The Merry Heart: xii, 385 pages. Hardback. VG. ",Hardcover,UsedCondition,,,"Toronto: Douglas Gibson, 1996/7. *",1996.0,InStock,abebooks - robertson davies - happy alchemy,False,False
HAPPY ALCHEMY; WRITINGS ON THE THEATRE AND OTHER LIVELY ARTS,"Robertson Davies, Brenda Jennifer Surridge",45.95,USD,Rare Book Cellar,Pomona,NY,U.S.A.,Hardcover. First Edition; First Printing. Very Good in a Very Good dust jacket. Owner name on FEP. Light foxing on top text block edge. ; 9.1 X 6.3 X 1.4 inches. ,Hardcover,UsedCondition,First Edition; First Printing.,9780771025853,"McClelland and Stewart, Canada",1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
HAPPY ALCHEMY On the Pleasures of Music and the Theatre,Robertson Davies & Brenda Davies,45.95,USD,Rare Book Cellar,Pomona,NY,U.S.A.,Hardcover. First Edition; First Printing. Near Fine in a Near Fine dust jacket. ; 8.9 X 6.0 X 1.3 inches; 400 pages. ,Hardcover,UsedCondition,First Edition; First Printing.,9780670880195,"Viking, New York",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
The Merry Heart and Happy Alchemy,"Davies, Robertson",30.0,USD,Solr Books,Skokie,IL,U.S.A.,"Hardcover. Condition: Very Good. 2 volume hardcover set!: The Merry Heart & Happy Alchemy. Noticeable signs of wear/scuffs/tanning on slip case, front/back covers, & lower/upper binds but books are in very good condition. Text is mostly clean & readable. Stitching is tight. May contain minor cover/edge/spine/reading wear. May contain minimal notes and/or highlighting. Overall in great condition. Ships Fast! Satisfaction Guaranteed!. ",Hardcover,UsedCondition,,,Douglas Gibson Book,1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Jock Macdonald; retrospective exhibition,"Pollock, R. Ann",10.0,USD,CMG Books and Art,Toronto,ON,Canada,Paperback. Condition: Very Good. Outer lower corner lightly turned. Spine lightly rubbed. U.S. orders are shipped from N.Y. state. ,Paperback,UsedCondition,,,National Gallery of Canada [for the Queen's Printer,1969.0,InStock,abebooks - pollock - jock macdonald,False,False
Jock MacDonald Retrospective Exhibition,"Dennis R. Reid,R Ann Pollock",15.0,USD,Edmonton Book Store,Edmonton,AB,Canada,"Condition: Very Good. Dust Jacket Condition: No Dj. 4to Oblong pp. 84. B/w illustrations, exhibition catalogue from National Gallery of Canada, 1969. book. ",Paperback,UsedCondition,,,"The National Gallery of Canada, Ottawa",1970.0,InStock,abebooks - pollock - jock macdonald,True,False
Jock Macdonald; Retrospective Exhibition,R. Ann Pollock,10.61,USD,PONCE A TIME BOOKS,SANTA BARBARA,CA,U.S.A.,"0 84 p. Includes illustrations. Very good. light shelf wear, ex museum stamp on blank flyleaf. ",Paperback,UsedCondition,,,National Gallery of Canada,1969.0,InStock,abebooks - pollock - jock macdonald,False,False
JOCK MACDONALD,"Pollock, R. Ann and Reid, Dennis R.",23.0,USD,J. Wyatt Books,Ottawa,ON,Canada,Retrospective Exhibition. Exhibition catalogue. 84 pp. White card covers with colour illustration. VG+. ,,UsedCondition,,,"The National Gallery of Canada, Ottawa, Canada",1970.0,InStock,abebooks - pollock - jock macdonald,False,False
Jock MacDonald: Retrospective Exhibition,"Macdonald, Jock; R. Ann Pollock,",10.0,USD,N. Fagin Books,Chicago,IL,U.S.A.,"1969. Art. National Gallery of Canada, 84 p., good ex-library paperback with library stamps on inside cover and title page. ",Paperback,UsedCondition,,,,,InStock,abebooks - pollock - jock macdonald,False,False
Billy Morrow Jackson: Interpretations of Time and Light (Visions of Illinois),Howard E. Wooden,3.51,USD,Books From California,Simi Valley,CA,U.S.A.,hardcover. Condition: Very Good. ,Hardcover,UsedCondition,,9780252017353,University of Illinois Press,1990.0,InStock,abebooks - wooden - billy morrow jackson,False,False
"BILLY MORROW JACKSON - Interpretations of Time and Light - Aus der Serie ""Visions of Illinois""","Wooden, Howard E.",13.76,USD,Versandantiquariat Brigitte Schulz,Frankfurt am Main,,Germany,"26 x 30 cm, 147 Seiten, überwiegend farbige, zum Teil ganzseitige Abbildungen gutes bis befriedigendes Exemplar Sprache: eng 1600 gr. Leinen mit Rückenbeschriftung und Schutzumschlag. ",Hardcover,UsedCondition,,,"University of Illinois Press, Urbana and Chicago, 1990",1990.0,InStock,abebooks - wooden - billy morrow jackson,False,False
Billy Morrow Jackson: Interpretations of Time and Light,"Wooden, Howard",8.0,USD,M H Harrington,Boston,MA,U.S.A.,"Condition: Fine. Dust Jacket Condition: Very Good+. Hardcover book, dust wrapper is very good+ (repaired closed tears, no losses, wear to top of spine) text is fine; 147 pp, 84 works described and illustrated - maiinly in color; further illustrations in text; index, biogaphical outline, partial list of collections (3lbs). Book. ",,UsedCondition,,,"University of Illinois Press, Urbana",1990.0,InStock,abebooks - wooden - billy morrow jackson,False,False
